city,population,extent,GDP
서울특별시,9411260,605.232,0
부산광역시,3305052,769.892,0
대구광역시,2377801,1499.5122,0
인천광역시,2981553,1067.042,0
광주광역시,1424305,501.242,0
대전광역시,1444898,539.352,0
울산광역시,1105326,1060.792,0
세종특별자치시,383591,4652,0
경기도,14003527,10199.512,38720
강원특별자치도,1533081,16830.112,33319
충청북도,1594007,7407.412,45803
충청남도,2125833,8247.212,57241
전라북도,1763004,8073.212,30912
전라남도,1812475,12360.512,49506
경상북도,2590726,1842012,42706
경상남도,3346658,10542.622,33782
제주특별자치도,677057,1850.212,29781
가평군,62247,843.62,0
고양시,1078772,268.12,0
과천시,0,35.862,0
광명시,0,38.502,0
광주시_(경기도),403871,430.992,0
구리시,0,33.312,0
군포시,266213,36.422,0
김포시,511682,276.6062,0
남양주시,737059,458.12,0
동두천시,91546,95.662,0
부천시,787673,53.42,0
성남시,924087,141.722,0
수원시,1190964,121.032,0
시흥시,0,139.132,0
안산시,634284,155.192,0
안성시,0,553.402,0
안양시,548654,58.482,0
양주시,0,3102,0
양평군,124409,877.772,0
여주시,113150,608.282,0
오산시,0,0,0
용인시,1092840,591.232,0
의왕시,0,53.992,0
의정부시,463353,81.542,0
이천시,0,497.92,0
파주시,0,672.782,0
평택시,0,0,0
포천시,148939,826.42,0
하남시,0,93.052,0
화성시,0,0,0
강남구,529698,39.502,0
강동구,460258,24.582,0
강북구,293984,23.602,0
강서구_(서울특별시),579456,41.432,0
관악구,487038,29.572,0
광진구,337713,17.062,0
구로구,394811,20.122,0
금천구,229890,13.002,0
노원구,504609,35.442,0
도봉구,312053,20.702,0
동대문구,337241,14.202,0
동작구,381704,16.352,0
마포구,364374,23.852,0
서대문구,305541,17.612,0
서초구,404704,47.002,0
성동구,281370,16.852,0
성북구,431047,24.572,0
송파구,659381,5622,0
양천구,441550,17.412,0
영등포구,375785,24.562,0
용산구,218945,21.872,0
은평구,466237,29.702,0
종로구,141650,23.912,0
중구_(서울특별시),120545,9.982,0
중랑구,385638,18.512,0
강릉시,0,0,0
고성군,0,0,0
동해시,89950,180.012,0
삼척시,0,0,0
속초시,82790,105.252,0
양구군,21748,701.532,0
양양군,27864,629.322,0
영월군,37954,1127.452,0
원주시,365995,867.302,0
인제군,32192,1646.082,0
정선군,35527,1219.862,0
철원군,0,0,0
춘천시,285907,1116.352,0
태백시,39428,303.452,0
평창군,41162,1463.72,0
홍천군,68177,1820.32,0
화천군,24195,908.932,0
횡성군,47163,998.02,0
강화군,69326,411.4262,0
계양구,288856,45.572,0
남동구,506181,57.452,0
동구_(인천광역시),58999,7.192,0
미추홀구,406004,24.832,0
부평구,486765,32.002,0
서구_(인천광역시),589013,118.492,0
연수구,385796,56.192,0
청주시,849029,940.332,0
충주시,209200,11252,0
제천시,131498,883.172,0
보은군,31812,584.32,0
옥천군,0,0,0
영동군,44956,845.42,0
증평군,37349,81.832,0
진천군,85557,414.592,0
괴산군,37405,842.12,0
음성군,92171,520.402,0
단양군,28155,780.12,0
천안시,690186,636.22,0
공주시,0,864.292,0
보령시,97967,569.012,0
아산시,324580,542.22,0
서산시,181123,742.152,0
논산시,0,554.982,0
계룡시,44475,60.792,0
당진시,166894,705.392,0
금산군,50477,576.662,0
부여군,63529,624.52,0
서천군,50745,3652,0
청양군,30547,479.672,0
" 홍성군",99125,443.982,0
예산군,78744,543.12,0
태안군,61437,504.942,0
전주시,655879,205.52,0
군산시,263897,395.92,0
익산시,277151,505.682,0
정읍시,106187,692.72,0
남원시,79015,752.622,0
김제시,80806,546.452,0
완주군,91041,821.052,0
진안군,24987,789.132,0
무주군,0,0,0
장수군,21645,533.632,0
임실군,26664,597.12,0
순창군,26689,495.942,0
"고창군 ",53151,606.82,0
부안군,50615,493.352,0
목포시,0,51.582,0
여수시,272826,512.262,0
순천시_(전라남도),280719,907.432,0
나주시,117060,608.452,0
광양시,151410,458.892,0
담양군,46208,455.122,0
곡성군,27443,547.442,0
구례군,25130,443.22,0
고흥군,0,0,0
보성군,39200,663.352,0
화순군,62624,786.92,0
장흥군,36298,618.22,0
"강진군 ",33534,500.282,0
해남군,67166,1013.82,0
영암군,52937,604.242,0
무안군,0,0,0
함평군,31167,392.432,0
영광군_(전라남도),51947,473.692,0
장성군,43365,518.652,0
완도군,48329,396.132,0
진도군,29222,440.12,0
신안군,38217,663.592,0
경산시,0,411.752,0
경주시,250857,1324.412,0
고령군,30626,384.032,0
구미시,412581,615.32,0
